日期,时间,合约,开平,方向,手数,价格,手续费
2021/10/20,2917.f,DCE.i2205,OPEN,BUY,2,696.50,15.81
2021/10/20,5917.f,DCE.i2205,CLOSE,SELL,2,687.50,15.81
2021/10/20,1417.f,DCE.i2205,OPEN,BUY,2,691,15.81
2021/10/21,3617.f,DCE.i2205,CLOSE,SELL,2,675,15.81
2021/10/21,5917.f,DCE.i2205,OPEN,SELL,2,660.50,15.81
2021/10/22,2717.f,DCE.i2205,CLOSE,BUY,2,676.50,15.81
2021/10/26,2917.f,DCE.i2205,OPEN,BUY,2,680,15.81
2021/10/27,0917.f,DCE.i2205,CLOSE,SELL,2,662,15.81
2021/10/28,2917.f,DCE.i2205,OPEN,SELL,2,644.50,15.81
2021/10/28,4617.f,DCE.i2205,CLOSE,BUY,2,654.50,15.81
2021/11/11,5917.f,DCE.i2205,OPEN,BUY,2,564.50,15.81
2021/11/11,4217.f,DCE.i2205,CLOSE,SELL,2,548.50,15.81
2021/11/15,5917.f,DCE.i2205,OPEN,SELL,3,539.50,23.71
2021/11/16,4417.f,DCE.i2205,CLOSE,BUY,3,550,23.71
2021/11/16,4417.f,DCE.i2205,OPEN,BUY,3,550,23.71
2021/11/16,2917.f,DCE.i2205,CLOSE,SELL,3,539,23.71
2021/11/16,2917.f,DCE.i2205,OPEN,SELL,3,539,23.71
2021/11/19,1417.f,DCE.i2205,CLOSE,BUY,3,542.50,23.71
2021/11/19,1417.f,DCE.i2205,OPEN,BUY,3,542.50,23.71
2021/11/26,1417.f,DCE.i2205,CLOSE,SELL,3,585.50,23.71
2021/11/26,1417.f,DCE.i2205,OPEN,SELL,2,585.50,15.81
2021/11/29,0417.f,DCE.i2205,CLOSE,BUY,2,604.50,15.81
2021/11/29,1417.f,DCE.i2205,OPEN,BUY,2,612,15.81
2021/11/30,4817.f,DCE.i2205,CLOSE,SELL,2,599,15.81
2021/12/2,5917.f,DCE.i2205,OPEN,SELL,2,602,15.81
2021/12/3,2017.f,DCE.i2205,CLOSE,BUY,2,626,15.81
2021/12/6,1417.f,DCE.i2205,OPEN,BUY,2,632.50,15.81
2021/12/9,4417.f,DCE.i2205,CLOSE,SELL,2,636,15.81
2021/12/9,4417.f,DCE.i2205,OPEN,SELL,2,636,15.81
2021/12/13,4317.f,DCE.i2205,CLOSE,BUY,2,659.50,15.81
2021/12/13,5917.f,DCE.i2205,OPEN,BUY,2,659.50,15.81
2021/12/15,4517.f,DCE.i2205,CLOSE,SELL,2,646,15.81
2021/12/15,2917.f,DCE.i2205,OPEN,SELL,2,654.50,15.81
2021/12/15,2917.f,DCE.i2205,CLOSE,BUY,2,659,15.81
2021/12/15,2917.f,DCE.i2205,OPEN,BUY,2,659,15.81
2021/12/15,4417.f,DCE.i2205,CLOSE,SELL,2,655,15.81
2021/12/15,5917.f,DCE.i2205,OPEN,BUY,2,660,15.81
2021/12/22,5917.f,DCE.i2205,CLOSE,SELL,2,681,15.81
2021/12/22,5917.f,DCE.i2205,OPEN,SELL,2,681,15.81
2021/12/23,0117.f,DCE.i2205,CLOSE,BUY,2,700,15.81
2021/12/23,2917.f,DCE.i2205,OPEN,BUY,2,709,15.81
2021/12/27,2017.f,DCE.i2205,CLOSE,SELL,2,686,15.81
2021/12/27,4417.f,DCE.i2205,OPEN,SELL,2,690,15.81
2021/12/31,2917.f,DCE.i2205,CLOSE,BUY,2,681.50,15.81
2021/12/31,2917.f,DCE.i2205,OPEN,BUY,2,681.50,15.81
2022/1/4,2917.f,DCE.i2205,CLOSE,SELL,2,664,15.81
2022/1/4,2917.f,DCE.i2205,OPEN,SELL,2,664,15.81
2022/1/4,5917.f,DCE.i2205,CLOSE,BUY,2,686,15.81
2022/1/4,5917.f,DCE.i2205,OPEN,BUY,2,686,15.81
2022/1/10,1417.f,DCE.i2205,CLOSE,SELL,2,693.50,15.81
2022/1/10,1417.f,DCE.i2205,OPEN,SELL,2,693.50,15.81
2022/1/10,5917.f,DCE.i2205,CLOSE,BUY,2,716.50,15.81
2022/1/10,5917.f,DCE.i2205,OPEN,BUY,2,716.50,15.81
2022/1/14,2917.f,DCE.i2205,CLOSE,SELL,2,723,15.81
2022/1/14,2917.f,DCE.i2205,OPEN,SELL,2,723,15.81
2022/1/18,5917.f,DCE.i2205,CLOSE,BUY,2,734,15.81
2022/1/18,5917.f,DCE.i2205,OPEN,BUY,2,734,15.81
2022/1/24,4417.f,DCE.i2205,CLOSE,SELL,2,742,15.81
2022/1/24,4417.f,DCE.i2205,OPEN,SELL,2,742,15.81
2022/1/25,1417.f,DCE.i2205,CLOSE,BUY,2,756.50,15.81
2022/1/25,1417.f,DCE.i2205,OPEN,BUY,2,756.50,15.81
2022/2/9,5917.f,DCE.i2205,CLOSE,SELL,2,785,15.81
2022/2/9,5917.f,DCE.i2205,OPEN,SELL,2,785,15.81
2022/2/10,3417.f,DCE.i2205,CLOSE,BUY,2,810.50,15.81
2022/2/10,4417.f,DCE.i2205,OPEN,BUY,2,821,15.81
2022/2/10,5917.f,DCE.i2205,CLOSE,SELL,1,837,7.91
2022/2/11,4117.f,DCE.i2205,CLOSE,SELL,1,818,7.91
2022/2/11,2917.f,DCE.i2205,OPEN,SELL,2,772.50,15.81
2022/2/21,5917.f,DCE.i2205,CLOSE,BUY,2,715.50,15.81
2022/2/21,5917.f,DCE.i2205,OPEN,BUY,2,715.50,15.81
2022/2/22,4817.f,DCE.i2205,CLOSE,SELL,2,691.50,15.81
2022/2/25,1417.f,DCE.i2205,OPEN,SELL,2,681.50,15.81
2022/2/28,4917.f,DCE.i2205,CLOSE,BUY,2,711,15.81
2022/2/28,4417.f,DCE.i2205,OPEN,BUY,2,710.50,15.81
2022/2/28,5917.f,DCE.i2205,CLOSE,SELL,2,693,15.81
2022/2/28,5917.f,DCE.i2205,OPEN,SELL,2,693,15.81
2022/2/28,1417.f,DCE.i2205,CLOSE,BUY,2,695.50,15.81
